,name,경상자수,발생건수,부상신고자수,부상자수,사망자수,중상자수
0,종로구,1151,1299,196,1748,9,401
1,중구,1089,1288,180,1716,17,447
2,용산구,1448,1428,163,2069,12,458
3,성동구,900,1099,230,1541,15,411
4,동대문구,1659,2051,258,2629,14,712
5,성북구,1500,1618,106,2106,13,500
6,도봉구,775,949,176,1306,11,355
7,은평구,939,1121,146,1518,14,433
8,서대문구,1000,1135,201,1566,14,365
9,마포구,1775,1768,243,2605,15,587
10,강서구,1536,1691,210,2230,13,484
11,구로구,1401,1511,168,2139,9,570
12,영등포구,2427,2403,333,3473,22,713
13,동작구,1411,1471,189,2028,19,428
14,관악구,1289,1408,152,1895,19,454
15,강남구,3707,3828,647,5445,12,1091
16,강동구,1265,1426,178,1957,17,514
17,송파구,2308,2598,526,3646,14,812
18,서초구,2369,2313,411,3473,16,693
19,양천구,1410,1493,208,2056,12,438
20,중랑구,1362,1535,228,2030,9,440
21,노원구,1446,1535,237,2216,13,533
22,광진구,977,1045,83,1466,9,406
23,강북구,1131,1227,123,1678,15,424
24,금천구,823,799,68,1133,15,242
25,중구,261,328,32,436,5,143
26,서구,357,440,42,609,4,210
27,동구,421,524,48,689,3,220
28,영도구,261,342,22,436,5,153
29,동래구,838,1056,115,1400,8,447
30,남구,667,833,89,1107,13,351
31,북구,666,793,70,1057,13,321
32,해운대구,1137,1270,187,1829,12,505
33,사하구,905,1059,123,1489,17,461
34,금정구,651,846,162,1215,11,402
35,강서구,412,506,38,715,15,265
36,연제구,509,608,45,798,7,244
37,수영구,594,680,71,913,7,248
38,사상구,875,999,181,1457,14,401
39,기장군,422,427,54,646,9,170
40,중구,1073,1150,237,1689,8,379
41,동구,1569,1610,172,2344,21,603
42,서구,1207,1323,189,1866,15,470
43,남구,809,859,113,1226,11,304
44,북구,2294,2298,248,3326,30,784
45,수성구,1812,1971,271,2810,27,727
46,달서구,3171,3089,295,4362,25,896
47,달성군,727,798,33,1156,27,396
48,중구,488,430,53,743,5,202
49,동구,148,140,17,232,5,67
50,남구,1288,1215,100,1760,22,372
51,부평구,1523,1474,74,2127,12,530
52,남동구,2121,1926,87,2860,25,652
53,서구,1563,1472,83,2181,28,535
54,연수구,605,682,29,975,16,341
55,계양구,906,947,91,1374,9,377
56,강화군,192,210,11,324,15,121
57,옹진군,35,39,5,59,7,19
58,동구,592,474,26,750,8,132
59,서구,2793,1924,97,3255,18,365
60,북구,2921,2178,116,3490,18,453
61,광산구,2664,1959,109,3223,31,450
62,남구,1025,819,52,1248,10,171
63,동구,1176,1079,39,1577,19,362
64,중구,1450,1313,26,1949,12,473
65,서구,2701,2303,104,3441,17,636
66,유성구,2230,1815,149,2922,21,543
67,대덕구,1042,1025,71,1426,30,313
68,중구,868,970,138,1468,13,462
69,남구,1331,1431,107,2063,23,625
70,동구,428,473,6,645,2,211
71,북구,647,694,88,1059,9,324
72,울주군,859,928,229,1505,34,417
73,수원시,5447,5121,583,7485,48,1455
74,성남시,3701,3740,502,5646,39,1443
